taxon,pd_mean_relative_abundance,control_mean_relative_abundance,log2_fold_change_PD_vs_control,p_value,fdr
Actinomyces sp HPA0247,0.00012482163265305937,7.070256410256281e-05,0.8199450843002685,0.000173564874429446,0.002124103463255601
Lactobacillus paragasseri,0.0003695069387755092,0.00011410170940170941,1.695193660284862,0.0002436039460886349,0.0028457370065808714
Lactobacillus salivarius,0.0016733663265306102,4.69042735042735e-05,5.156591195660907,0.00028419583380498296,0.003175579534255679
Megasphaera sp MJR8396C,0.0020127877551020397,0.0010100286324786303,0.9947917432987976,0.00032478810111257026,0.0034779392494137733
Lactobacillus gasseri,0.00019518714285714182,2.9527777777777778e-05,2.724298739315285,0.00036474012996621363,0.003717034709623155
Lactobacillus fermentum,0.001159141836734691,0.0004797713675213654,1.2726205203823648,0.00037604242198522193,0.003717034709623155
Megasphaera sp DISK 18,0.0003301914285714273,0.00010099358974358932,1.7089397935322173,0.0004583616590569055,0.004362923939912027
Hungatella hathewayi,0.0006750887755101986,0.0003804098290598257,0.8275061547734941,0.0005575656291690818,0.005117655953444787
Eubacterium rectale,0.027433102653061214,0.0404275205128205,-0.5594197557960251,0.0005821220025954263,0.005158805333345674
Escherichia coli,0.012233862040816319,0.008707096581196574,0.490615803338234,0.0006072515702557896,0.005202121785191264
Ruminococcus callidus,2.6926530612244694e-05,0.00012093888888888761,-2.1667615651325076,0.0008251632956954098,0.006804541765787065
Enterococcus faecium,0.0003292136734693865,0.0004941196581196577,-0.5858215709905088,0.0008472581186972221,0.006804541765787065
Methanobrevibacter smithii,0.004666365102040814,0.002504402991452986,0.8978297914039244,0.0009695956159493602,0.0075510931302722895
Porphyromonas asaccharolytica,0.0001836720408163257,1.2419658119658118e-05,3.885352055991731,0.0010810449431949197,0.008171427952973364
Clostridium sp CAG 299,0.000378774081632651,0.0015640141025641003,-2.0458151375638747,0.0012478438509655276,0.00916273913423259
Alistipes indistinctus,0.001402614489795914,0.0005536606837606778,1.341028782845266,0.0012913494710385944,0.009218800390469966
Eubacterium sp CAG 38,0.0013482240816326497,0.002008975213675206,-0.5753959454383174,0.0014437291806776687,0.010028064849571914
Roseburia faecis,0.0121230869387755,0.01766245598290597,-0.5429284885104109,0.0015544098712330452,0.010512719392286648
Bifidobacterium gallinarum,6.014693877551e-05,7.598290598290599e-06,2.9830868979902583,0.0016424504207021723,0.010823327131293801
Streptococcus anginosus group,0.0003040714285714261,7.810170940170812e-05,1.9608469699860065,0.0017604955222517804,0.011311183730467689
Bifidobacterium longum,0.03302590244897958,0.015340064957264948,1.1062928887993269,0.0019490518671772155,0.012217227557671816
Ruminococcus bicirculans,0.006711396122448975,0.011190670940170937,-0.7376108597024178,0.0020228410927782296,0.012340316917768195
Klebsiella quasipneumoniae,0.001155755306122446,0.00047261324786324646,1.2900859678223593,0.002064722285852266,0.012340316917768195
Agathobaculum butyriciproducens,0.002404395510204076,0.0037655405982905906,-0.6471805995747906,0.0021180355352354175,0.01237125301262505
